Item,Quantity,Cost,Price,Vendor,PMP EXTENDED PRICING,CLIENT EXTENDED PRICING,PROFIT MARGIN,UPDATED?,Old Cost
"7"" Center Labels - 500",500,,$0.38,,,$190.00,,,
"7"" Center Labels - 1000",1000,,$0.19,,,$190.00,,,
Bags / Shrink Wrap,,,,,,,,,
No bag / shrink wrap,,,,,,,,,
Poly Bags (Non Resealable) - 250,250,N/A,$0.50,,,$125.00,,,
Poly Bags (Non Resealable) - 500,500,N/A,$0.50,,,$250.00,,,
Poly Bags (Non Resealable) - 1000,1000,N/A,$0.50,,,$500.00,,,
Poly Bags (Non Resealable) - 2000,2000,N/A,$0.50,,,"$1,000.00",,,
Poly Bags (Non Resealable) - 5000,5000,N/A,$0.50,,,"$2,500.00",,,
Poly Bags (Non Resealable) - 10000,10000,N/A,$0.50,,,"$5,000.00",,,
Poly Bags (Resealable) - 250,250,N/A,$0.65,,,$162.50,,,
Poly Bags (Resealable) - 500,500,N/A,$0.65,,,$325.00,,,
Poly Bags (Resealable) - 1000,1000,N/A,$0.65,,,$650.00,,,
Poly Bags (Resealable) - 2000,2000,N/A,$0.65,,,"$1,300.00",,,
Poly Bags (Resealable) - 5000,5000,N/A,$0.65,,,"$3,250.00",,,
Poly Bags (Resealable) - 10000,10000,N/A,$0.65,,,"$6,500.00",,,
"7"" Poly Bags (Resealable)",1,N/A,$0.65,,,,,,
"7"" Poly Bags (Non Resealable)",1,N/A,$0.40,,,,,,
Shrink Wrap - 250,250,N/A,$0.30,,,$75.00,,,
Shrink Wrap - 500,500,N/A,$0.30,,,$150.00,,,
Shrink Wrap - 1000,1000,N/A,$0.30,,,$300.00,,,
Shrink Wrap - 2000,2000,N/A,$0.30,,,$600.00,,,
Shrink Wrap - 5000,5000,N/A,$0.30,,,"$1,500.00",,,
Shrink Wrap - 10000,10000,N/A,$0.30,,,"$3,000.00",,,
Download Cards,,,,,,,,,
No download card,,,,,,,,,
3x3 - 500,500,$0.35,$0.49,,,,,,
3x3 - 1000,1000,$0.25,$0.35,,,,,,
2.5x3 - 500,500,$0.35,$0.49,,,,,,
2.5x3 - 1000,1000,$0.25,$0.35,,,,,,
Booklets,,,,,,,,,
No booklet,,,,,,,,,
8 page Booklet - 50,50,$14.54,$20.36,,,,,,
8 page Booklet - 100,100,$7.32,$10.25,,,,,,
8 page Booklet - 250,250,$3.05,$4.27,,,,,,
8 page Booklet - 500,500,$1.83,$2.56,,,,,,
8 page Booklet - 1000,1000,$1.20,$1.68,,,,,,
8 page Booklet - 2000,2000,$0.94,$1.32,,,,,,
8 page Booklet - 5000,5000,$0.76,$1.06,,,,,,
8 page Booklet - 10000,10000,$0.62,$0.87,,,,,,
12 page Booklet - 50,50,$16.45,$23.03,,,,,,
12 page Booklet - 100,100,$8.27,$11.58,,,,,,
12 page Booklet - 250,250,$3.43,$4.80,,,,,,
12 page Booklet - 500,500,$1.96,$2.74,,,,,,
12 page Booklet - 1000,1000,$1.32,$1.85,,,,,,
12 page Booklet - 2000,2000,$1.05,$1.47,,,,,,
12 page Booklet - 5000,5000,$0.87,$1.22,,,,,,
12 page Booklet - 10000,10000,$0.77,$1.08,,,,,,
16 page Booklet - 50,50,$23.32,$32.65,,,,,,
16 page Booklet - 100,100,$11.66,$16.32,,,,,,
16 page Booklet - 250,250,$4.66,$6.52,,,,,,
16 page Booklet - 500,500,$2.67,$3.74,,,,,,
16 page Booklet - 1000,1000,$1.77,$2.48,,,,,,
16 page Booklet - 2000,2000,$1.43,$2.00,,,,,,
16 page Booklet - 5000,5000,$1.11,$1.55,,,,,,
16 page Booklet - 10000,10000,$0.97,$1.36,,,,,,
20 page Booklet - 50,50,$19.20,$26.88,,,,,,
20 page Booklet - 100,100,$9.65,$13.51,,,,,,
20 page Booklet - 250,250,$4.20,$5.88,,,,,,
20 page Booklet - 500,500,$2.58,$3.61,,,,,,
20 page Booklet - 1000,1000,$1.96,$2.74,,,,,,
20 page Booklet - 2000,2000,$1.74,$2.44,,,,,,
20 page Booklet - 5000,5000,$1.59,$2.23,,,,,,
20 page Booklet - 10000,10000,$1.44,$2.02,,,,,,
24 page Booklet - 50,50,$19.25,$26.95,,,,,,
24 page Booklet - 100,100,$9.70,$13.58,,,,,,
24 page Booklet - 250,250,$4.25,$5.95,,,,,,
24 page Booklet - 500,500,$2.63,$3.68,,,,,,
24 page Booklet - 1000,1000,$2.00,$2.80,,,,,,
24 page Booklet - 2000,2000,$1.79,$2.51,,,,,,
24 page Booklet - 5000,5000,$1.64,$2.30,,,,,,
24 page Booklet - 10000,10000,$1.49,$2.09,,,,,,
Set Up / Add Ons,,,,,,,,,
No add on,,,,,,,,,
Packaging Provided - 250,250,N/A,$0.10,,,$25.00,,,
Packaging Provided - 500,500,N/A,$0.10,,,$50.00,,,
Packaging Provided - 1000,1000,N/A,$0.10,,,$100.00,,,
Packaging Provided - 2000,2000,N/A,$0.10,,,$200.00,,,
Packaging Provided - 5000,5000,N/A,$0.10,,,$500.00,,,
Packaging Provided - 10000,10000,N/A,$0.10,,,"$1,000.00",,,
Insertion Fee - 250,250,N/A,$0.10,,,$25.00,,,
Insertion Fee - 500,500,N/A,$0.10,,,$50.00,,,
Insertion Fee - 1000,1000,N/A,$0.10,,,$100.00,,,
Insertion Fee - 2000,2000,N/A,$0.10,,,$200.00,,,
Insertion Fee - 5000,5000,N/A,$0.10,,,$500.00,,,
Insertion Fee - 10000,10000,N/A,$0.10,,,"$1,000.00",,,
180 Gram - 250,250,N/A,$0.75,,,$187.50,,,
180 Gram - 500,500,N/A,$0.75,,,$375.00,,,
180 Gram - 1000,1000,N/A,$0.75,,,$750.00,,,
180 Gram - 2000,2000,N/A,$0.75,,,"$1,500.00",,,
180 Gram - 5000,5000,N/A,$0.75,,,"$3,750.00",,,
180 Gram - 10000,10000,N/A,$0.75,,,"$7,500.00",,,
2x3 rectangle or 2.5 circle sticker - 250,250,$0.57,$0.80,,$142.50,$199.50,$57.00,,
2x3 rectangle or 2.5 circle sticker - 500,500,$0.37,$0.52,,$185.00,$259.00,$74.00,,
2x3 rectangle or 2.5 circle sticker - 1000,1000,$0.23,$0.32,,$230.00,$322.00,$92.00,,
2x3 rectangle or 2.5 circle sticker - 2000,2000,$0.14,$0.20,,$280.00,$392.00,$112.00,,
2x3 rectangle or 2.5 circle sticker - 5000,5000,$0.10,$0.14,,$500.00,$700.00,$200.00,,
Barcode stickers - 1100,1100,N/A,$0.30,,,$330.00,,,
Reverse Board Setup,1,N/A,$150.00,,,,,,
Color Setup - 1 Color,1,N/A,$300.00,,,,,,
Color Setup - 2 to 3 Color,1,N/A,$200.00,,,,,,
Color Setup - 4 Color,1,N/A,$150.00,,,,,,
Press / Stamper Setup,1,N/A,$150.00,,,,,,
Big Hole Punch,1,N/A,$0.25,,,,,,
Matte Finish Upcharge - 1000,1,N/A,$250.00,Taylor,,,,5/26,
PMS Metallic/Flourescent - 1000,1,N/A,$336.00,Taylor,,,,5/27,
Embossing - 1000,1000,N/A,$5.60,Superior,,"$5,600.00",,5/28,
Lacquer,,,,,,,,,
No lacquer cutting,,,,,,,,,
Lacquer Cutting (Singular - 1 side of record),1,$200.00,$300.00,,,,$100.00,,
"7"" Lacquer Cutting",1,$175.00,$250.00,,,,$75.00,,
Stamper,,,,,,,,,
No plating / stamper,,,,,,,,,
Plating - 2 Step (Singular - 1 side of record),1,N/A,$238.00,,,,,,
Plating - 3 Step (Singular - 1 side of record),1,N/A,$278.00,,,,,,
Plating - Additional Stamper (Singular - 1 side of record),1,N/A,$165.00,,,,,,
"7"" Plating - 3 Step (Singular - 1 side of record)",1,N/A,$278.00,,,,,,
Labor,,,,,,,,,
No labor,,,,,,,,,
Boxing and Palletizing - 250,250,N/A,$0.50,,,$125.00,,,
Boxing and Palletizing - 500,500,N/A,$0.50,,,$250.00,,,
Boxing and Palletizing - 1000,1000,N/A,$0.50,,,$500.00,,,
Boxing and Palletizing - 2000,2000,N/A,$0.50,,,"$1,000.00",,,
Boxing and Palletizing - 5000,5000,N/A,$0.50,,,"$2,500.00",,,
Boxing and Palletizing - 10000,10000,N/A,$0.50,,,"$5,000.00",,,
Insertion - 250,250,N/A,$0.10,,,$25.00,,,
Insertion - 500,500,N/A,$0.10,,,$50.00,,,
Insertion - 1000,1000,N/A,$0.10,,,$100.00,,,
